Artist,Track,Year,Chords
Dusk,I Hear Those Church Bells Ringing,1971,"['Bm', 'A', 'Bm', 'A', 'G', 'A', 'Bm', 'A', 'G', 'A', 'Bm', 'Bm', 'A', 'G', 'D', 'Bm', 'A', 'G', 'D', 'Bm', 'A', 'Bm', 'Bm', 'A', 'G', 'A', 'Bm', 'A', 'G', 'A', 'Bm', 'Bm', 'A', 'G', 'D', 'Bm', 'A', 'G', 'D', 'Bm', 'A', 'G', 'Bm', 'G', 'Bm', 'G', 'Bm', 'A', 'G', 'A', 'G', 'D', 'Bm', 'A', 'G', 'D', 'Bm', 'A', 'Bm']"
The Chi-lites,Oh Girl,1972,"['Bb', 'Bb', 'Dm', 'Eb', 'Cm', 'F7sus4', 'Db', 'Ab', 'Bb', 'Cm7/F', 'Db', 'Ab', 'Bb', 'Cm7/F']"
The Jimmy Castor Bunch,Troglodyte (Cave Man),1972,"['A', 'A', 'A', 'A', 'A']"
Bread,Diary,1972,"['G', 'Csus/G', 'C/G', 'G', 'G', 'Csus/G', 'C/G', 'G', 'Edim7', 'G', 'D7', 'D#dim7', 'Em', 'G7', 'C', 'G', 'C', 'G', 'G', 'Csus/G', 'C/G', 'G', 'G', 'Csus/G', 'C/G', 'G', 'Edim7', 'G', 'D7', 'D#dim7', 'Em', 'Dm7', 'G7', 'C', 'G', 'C', 'G', 'D7', 'D#dim7', 'Em', 'G7', 'C', 'Am7', 'D7', 'G', 'C', 'B7sus4', 'G', 'Csus/G', 'C/G', 'G', 'F/G', 'C/G', 'Edim7', 'G', 'D7', 'D#dim7', 'Em', 'G7', 'C', 'G', 'C', 'G', 'D7', 'D#dim7', 'Em', 'G7', 'C', 'Am7', 'D7', 'G', 'C', 'G', 'C', 'C/D', 'G']"
Bill Withers,Lean On Me,1972,"['C', 'F', 'C', 'Em', 'G', 'C', 'F', 'C', 'G', 'C', 'C', 'F', 'C', 'Em', 'G', 'C', 'F', 'C', 'G', 'C', 'C', 'F', 'C', 'Em', 'G', 'C', 'F', 'C', 'G', 'C', 'C', 'G', 'C', 'C', 'G', 'C', 'C', 'G', 'C', 'C', 'G', 'C', 'C', 'F', 'C', 'Em', 'G', 'C', 'F', 'C', 'G', 'C', 'C', 'G', 'C', 'C', 'G', 'C', 'C', 'G', 'C', 'C', 'G', 'C', 'C', 'F', 'C', 'Em', 'G', 'C', 'F', 'C', 'G', 'C', 'C', 'F', 'C', 'Em', 'G', 'C', 'F', 'C', 'G', 'C']"
America,I Need You,1972,"['A', 'C#m', 'Em', 'G7', 'C', 'A', 'C#m', 'Em', 'G7', 'C', 'F', 'D7', 'G', 'Em', 'Bm', 'Am7', 'D7', 'G', 'Em', 'Bm', 'G', 'Bm', 'G', 'D', 'E', 'A', 'C#m', 'Em', 'G7', 'C', 'A', 'C#m', 'Em', 'G7', 'C', 'F', 'D7', 'G', 'Em', 'Bm', 'G', 'Cmaj7', 'Am7', 'G', 'Em', 'Bm', 'G', 'Cmaj7', 'Am7', 'G', 'A', 'G', 'C#m', 'Bm', 'G7', 'F7', 'C', 'Bb', 'F', 'Eb', 'D7', 'C7', 'G', 'F', 'Em', 'Dm', 'Bm', 'Am']"
Elton John,Rocket Man,1972,"['Em7', 'A9', 'Em7', 'A9', 'C', 'G', 'Am', 'D', 'Em7', 'A9', 'Em7', 'A9', 'C', 'G', 'Am', 'D', 'G', 'C', 'G', 'C', 'G', 'A9', 'C', 'G', 'G', 'C', 'G', 'C', 'G', 'A9', 'C', 'G', 'G', 'C', 'G', 'C', 'G', 'A9', 'C', 'G', 'Em7', 'A9', 'Em7', 'A9', 'C', 'G', 'Am', 'D', 'Em7', 'A9', 'Em7', 'A9', 'C', 'G', 'Am', 'D', 'G', 'C', 'G', 'C', 'G', 'A9', 'C', 'G', 'G', 'C', 'G', 'C', 'G', 'A9', 'C', 'G', 'C', 'G', 'C', 'G']"
Harry Chapin,Taxi,1972,"['D', 'Am7', 'D', 'Am7', 'C', 'Bb', 'D', 'D', 'Am7', 'C', 'Bb', 'D', 'D', 'Am7', 'C', 'Bb', 'D', 'D', 'Am7', 'C', 'Bb', 'D', 'G', 'D', 'C', 'G', 'D', 'G', 'Em', 'D', 'Bm', 'C', 'Bb', 'D', 'D', 'Am7', 'C', 'Bb', 'D', 'G', 'Em', 'D', 'Bm', 'G', 'Bm', 'C', 'Bb', 'D', 'C', 'Bm', 'E', 'C', 'Em', 'Am', 'Em', 'C', 'Em', 'Am', 'D', 'Em', 'C', 'Bm', 'E', 'C', 'Em', 'Am', 'Em', 'C', 'Em', 'Am', 'F', 'D', 'Am7', 'C', 'Bb', 'D', 'D', 'Am7', 'C', 'Bb', 'D', 'D', 'Am7', 'C', 'Bb', 'D', 'G', 'Em', 'D', 'Bm', 'G', 'D', 'Bm', 'G', 'D', 'D', 'Am7', 'C', 'Bb', 'D', 'G', 'D', 'C', 'G', 'D', 'G', 'D', 'Bm', 'C', 'Bb', 'D', 'Am7', 'G', 'A', 'D', 'Am7']"
Neil Young,Old Man,1972,"['F/D', 'D5', 'D', 'Dsus4', 'D', 'D5', 'F/D', 'D5', 'D', 'Dsus4', 'D', 'D5', 'F/D', 'D', 'F/D', 'D', 'F', 'C', 'G', 'D', 'F', 'C', 'F', 'D', 'F', 'C', 'G', 'D', 'F', 'C', 'F', 'D', 'F', 'C', 'G', 'D', 'C', 'F', 'G', 'D', 'Am7', 'Em7', 'G', 'D', 'Am7', 'Em7', 'G', 'D', 'Am7', 'Em7', 'G', 'D', 'Am7', 'Em7', 'G', 'D', 'F', 'C', 'G', 'D', 'F', 'C', 'F', 'D', 'F', 'C', 'G', 'D', 'F', 'C', 'F', 'D', 'F', 'C', 'G', 'D', 'C', 'F', 'G', 'D', 'Am7', 'Em7', 'G', 'D', 'Am7', 'Em7', 'G', 'D', 'Am7', 'Em7', 'G', 'D', 'Am7', 'Em7', 'G', 'F/D', 'D5', 'D', 'Dsus4', 'D', 'D5', 'F/D', 'D', 'F/D', 'D', 'F', 'C', 'G', 'D']"
Derek & The Dominos,Layla,1972,"['Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'A', 'C', 'C#m7', 'G#7', 'C#m7', 'C', 'D', 'E', 'E7', 'F#m', 'B', 'E', 'A', 'F#m', 'B', 'E', 'A', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'A', 'C', 'C#m7', 'G#7', 'C#m7', 'C', 'D', 'E', 'E7', 'F#m', 'B', 'E', 'A', 'F#m', 'B', 'E', 'A', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'A', 'C', 'C#m7', 'G#7', 'C#m7', 'C', 'D', 'E', 'E7', 'F#m', 'B', 'E', 'A', 'F#m', 'B', 'E', 'A', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm']"
Joe Tex,You Said A Bad Word,1972,"['D7', 'G7', 'D7', 'G', 'A', 'F', 'G', 'D7', 'D', 'C', 'F', 'G', 'D7', 'G7', 'D7', 'G', 'A', 'F', 'G', 'D7', 'D', 'C', 'F', 'G', 'D7', 'G7', 'D7', 'G', 'A', 'F', 'G', 'D7', 'D', 'C', 'F', 'G', 'D7', 'G7', 'D7', 'G', 'A', 'F', 'G', 'D7', 'D7', 'G7', 'D7', 'G7']"
Humble Pie,Hot 'N' Nasty,1972,"['C', 'C', 'F', 'F', 'Bb', 'Bb', 'Eb', 'G', 'F#', 'C', 'F', 'Eb', 'C', 'F', 'Eb', 'F', 'Eb', 'C', 'C', 'F', 'C', 'F', 'Eb', 'C', 'C', 'F', 'C', 'C', 'F', 'C', 'Bb', 'F', 'C', 'C', 'F', 'C', 'Bb', 'F', 'C', 'G', 'F', 'C', 'G', 'G', 'F', 'C', 'G', 'G', 'F', 'C', 'G', 'G', 'F', 'C', 'Bb', 'F', 'F#']"
Eagles,Take It Easy,1972,"['Am7/G', 'D7sus4/G', 'G', 'Am7/G', 'D7sus4/G', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'Em', 'C', 'G', 'Am', 'C', 'Em', 'C', 'G', 'C', 'G', 'Am', 'C', 'G', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Am', 'C', 'Em', 'C', 'G', 'C', 'G', 'Am', 'C', 'G', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Am', 'C', 'Em', 'D', 'G', 'D', 'Am', 'G', 'D', 'C', 'G', 'Em', 'C', 'G', 'Am', 'C', 'Em', 'C', 'G', 'C', 'G', 'Am', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'G7', 'C', 'G', 'G7', 'C', 'Em']"
Procol Harum,Conquistador,1972,"['Em', 'Em', 'A7', 'D', 'D7', 'Em', 'A7', 'D', 'D7', 'D7', 'E', 'Am', 'D', 'Em', 'E', 'Am', 'D', 'Em', 'Em', 'C7', 'Em', 'C7', 'Em', 'A7', 'D', 'D7', 'Em', 'A7', 'D', 'D7', 'D7', 'E', 'Am', 'D', 'Em', 'E', 'Am', 'D', 'Em', 'Em', 'C7', 'Em', 'C7', 'Em', 'A7', 'D', 'D7', 'Em', 'A7', 'D', 'D7', 'D7', 'E', 'Am', 'D', 'Em', 'E', 'Am', 'D', 'Em', 'Em', 'C7', 'Em', 'C7', 'Em', 'C7', 'Em', 'C7', 'Em', 'C7', 'Em', 'C7']"
J.J. Cale,After Midnight,1972,"['C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C', 'C', 'F', 'G', 'C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C', 'C', 'F', 'G', 'C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C', 'C', 'F', 'G', 'C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C', 'C', 'D#', 'F', 'C']"
Beverly Bremers,We're Free,1972,"['G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'G', 'D', 'Em', 'C', 'C', 'G', 'D', 'Em', 'C', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'C', 'G', 'D', 'Em', 'C', 'C', 'G', 'D', 'Em', 'C', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C']"
Alice Cooper,School's Out,1972,"['C', 'D', 'Eb', 'G', 'Bb', 'C', 'F', 'E', 'E', 'A', 'E', 'E', 'G', 'E', 'E', 'A', 'G', 'E', 'C', 'D', 'Eb', 'G', 'Bb', 'C', 'F', 'G', 'G', 'Bb', 'C', 'F', 'G', 'G', 'Bb', 'C', 'F', 'G', 'A', 'A', 'A7', 'A', 'F', 'A', 'Em', 'D', 'C', 'D', 'C', 'D', 'E', 'E', 'A', 'E', 'E', 'G', 'E', 'E', 'A', 'G', 'E', 'E', 'E', 'A', 'E', 'E', 'G', 'E', 'E', 'A', 'E', 'G', 'Bb', 'C', 'F', 'G', 'G', 'Bb', 'C', 'F', 'G', 'G', 'F', 'C', 'Em', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'G', 'Bb', 'C', 'F', 'G', 'G', 'Bb', 'C', 'F', 'G', 'G', 'Bb', 'C', 'F', 'G', 'G', 'F', 'C']"
Donny Osmond,Too Young,1972,"['Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D']"
Johnny Cash And The Tennessee Three,Kate,1972,"['F', 'D', 'D', 'Dmaj7', 'Em', 'Gmaj7', 'D', 'D', 'Dmaj7', 'Em', 'Gmaj7', 'D', 'F#m7', 'F7', 'Em7', 'G6', 'D', 'D', 'Dmaj7', 'Em', 'Gmaj7', 'D', 'F#m7', 'F7', 'Em7', 'G6', 'D', 'Am7', 'Gmaj7', 'Gm7', 'Fmaj7', 'Fm7', 'Bb7', 'Em7', 'D', 'Gm', 'D', 'Dmaj7', 'Em7', 'Gmaj7', 'D', 'D', 'Dmaj7', 'Em7', 'Gmaj7', 'Gm', 'D', 'F#m7', 'F7', 'Em7', 'G6', 'D', 'Gm', 'D', 'Gm', 'D', 'Dmaj7', 'Em', 'Gmaj7', 'F#m7', 'F7', 'Em7', 'G6', 'Am7', 'Gm7', 'Fmaj7', 'Fm7', 'Bb7', 'Gm']"
Gordon Lightfoot,Beautiful,1972,"['D', 'C', 'G', 'Bb', 'D', 'C', 'G', 'Bb', 'D', 'C', 'G', 'Bb', 'G', 'Em', 'D', 'C', 'G', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Bb', 'D', 'C', 'G', 'Bb', 'D', 'C', 'G', 'Bb', 'G', 'Em', 'D', 'C', 'G', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'D', 'C', 'G', 'Bb', 'D', 'C', 'G', 'Bb', 'G', 'Em', 'D', 'C', 'G', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'D', 'C', 'G', 'Bb']"
Nilsson,Coconut,1972,"['E', 'A', 'D', 'G', 'B', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7']"
Donny Hathaway,Giving Up,1972,"['C', 'F', 'C', 'F', 'Am', 'G', 'F', 'C', 'C', 'F', 'C', 'F', 'Am', 'G', 'F', 'C', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'C', 'F', 'C', 'F', 'Am', 'G', 'F', 'C', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'Am', 'C', 'F', 'G', 'C']"
Joey Heatherton,Gone,1972,"['E', 'C#m', 'E', 'G#', 'C#m', 'A', 'E', 'G#', 'C#m', 'A', 'E', 'G#', 'C#m', 'A', 'F#m', 'B', 'E', 'G#', 'C#m', 'A', 'E', 'E', 'G#', 'C#m', 'A', 'E', 'G#m', 'C#m', 'A', 'F#m', 'B', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'E', 'C#m', 'E', 'G#', 'C#m', 'A', 'E', 'G#', 'C#m', 'A', 'E', 'G#', 'C#m', 'A', 'F#m', 'B', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E']"
Kenny Loggins With Jim Messina,Nobody But You,1972,"['Em', 'Am7', 'D', 'G', 'C', 'Am7', 'B7', 'Em', 'Am7', 'D', 'G', 'C', 'Am7', 'B7', 'Em', 'Am7', 'D', 'G', 'C', 'Am7', 'B7', 'Em', 'Am7', 'D', 'G', 'C', 'Am7', 'B7', 'Em', 'Am7', 'D', 'G', 'C', 'Am7', 'B7', 'Em', 'Am7', 'D', 'G', 'C', 'Am7', 'B7', 'Em', 'Am7', 'D', 'G', 'C', 'Am7', 'B7', 'Em', 'Am7', 'D', 'G', 'C', 'Am7', 'B7', 'Em', 'Am7', 'D', 'G', 'C', 'Am7', 'B7', 'Em', 'Am7', 'D', 'G', 'C', 'Am7', 'B7', 'Em', 'Am7', 'D', 'G', 'C', 'Am7', 'B7', 'Em', 'Am7', 'D', 'G', 'C', 'Am7', 'B7', 'Em', 'Am7', 'D', 'G', 'C', 'Am7', 'B7']"
Laura Lee,Rip Off,1972,"['C', 'B', 'F', 'A', 'C', 'B', 'F', 'A', 'C', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'A', 'B', 'A', 'B', 'A', 'B', 'A', 'B']"
Dennis Coffey & The Detroit Guitar Band,"Getting It On/Ride, Sally, Ride",1972,"['C', 'C7', 'C', 'C7', 'C', 'C', 'C', 'C7', 'C', 'F', 'F7', 'F', 'C7', 'C', 'C7', 'C', 'C7', 'C', 'C7', 'C', 'C7', 'C', 'C7', 'C', 'F', 'F7', 'F', 'F', 'F7', 'F', 'C7', 'C', 'C7', 'C', 'C7', 'C', 'C', 'C7', 'C', 'C7', 'C', 'C7', 'C', 'C7', 'C', 'C7', 'F', 'F7', 'F', 'C7', 'C', 'C7', 'C', 'C7', 'C', 'C7', 'C', 'C7', 'C', 'C7', 'C']"
Danyel Gerard,Butterfly,1972,"['G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'G7', 'C', 'D', 'G', 'Em', 'C', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'G7', 'C', 'D', 'G', 'Em', 'C', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'G', 'Em', 'C', 'C/B', 'G']"
Jackie DeShannon,Vanilla Ólay,1972,"['G', 'Am', 'C', 'G', 'Em', 'Am', 'C', 'G', 'C', 'G', 'G', 'Am', 'C', 'G', 'F#', 'G', 'Em', 'Am', 'C', 'G', 'C', 'G', 'G', 'Am', 'G', 'Am', 'Am', 'G', 'Am', 'Am', 'C', 'Am', 'G', 'F#', 'G', 'Em', 'Am', 'C', 'G', 'C', 'G', 'G', 'Am', 'C', 'G', 'Em', 'Am', 'C', 'G', 'C', 'G', 'Am', 'C', 'D', 'G', 'C', 'G']"
Petula Clark,My Guy,1972,"['G', 'Am', 'Bm', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Bm', 'B7', 'Am', 'D', 'Am', 'D', 'Am', 'D', 'Am', 'C', 'G', 'Gmaj7', 'A7', 'D7', 'G', 'Am', 'Bm', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Bm', 'B7', 'Am', 'D', 'Am', 'D', 'Am', 'D', 'Am', 'C', 'G', 'Gmaj7', 'A7', 'D7', 'G', 'Am', 'Bm', 'Am7', 'D', 'Am', 'D', 'Am', 'D', 'G', 'Gmaj7', 'Em', 'Bm', 'Em', 'Bm', 'A7', 'D7', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Bm', 'B7', 'Am', 'D', 'Am', 'D', 'Am', 'D', 'Am', 'C', 'G', 'Gmaj7', 'A7', 'D7', 'Gmaj7', 'G6', 'Am', 'Bm', 'G', 'Am', 'Bm', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Gmaj7', 'G6', 'Bm', 'B7', 'Am', 'D', 'Am', 'D', 'Am', 'D', 'Am', 'C', 'Am', 'Bm', 'Am', 'Bm', 'Am', 'Bm', 'G', 'Am', 'Bm', 'Gmaj7', 'G6', 'B7', 'D', 'A7', 'D7', 'Am7', 'Em']"
Paul McCartney And Wings,My Love,1973,"['Bbmaj7', 'Am7', 'D9', 'Gm7', 'Dm6/B', 'F', 'Bb/F', 'C7', 'A', 'Bbmaj7', 'Am7', 'D9', 'Gm7', 'Am7', 'Bbmaj7', 'Dm6/B', 'F', 'Gm7', 'Bb/F', 'F', 'Bbmaj7', 'Am7', 'D9', 'Gm7', 'Am7', 'Bbmaj7', 'Dm6/B', 'F', 'Gm7', 'Bb/F', 'F', 'F', 'Gm7', 'C7', 'F', 'A', 'Bb/F', 'C7', 'F', 'F', 'Bb/F', 'C7', 'F', 'A', 'Bb', 'C7', 'F', 'F', 'Bb/F', 'C7', 'F', 'Bbmaj7', 'Am7', 'D9', 'Gm7', 'Am7', 'Bbmaj7', 'Dm6/B', 'F', 'Gm7', 'Bb/F', 'F', 'F', 'Bb', 'C7', 'F', 'A7', 'Bb/F', 'C7', 'F']"
Sylvia (r&b),Pillow Talk,1973,"['C', 'D', 'C', 'D', 'C', 'Em', 'D', 'C', 'Em', 'D', 'C', 'Em', 'D', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'D', 'D', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'Em', 'D', 'C', 'Em', 'D', 'C', 'Em', 'D', 'C', 'Em', 'D', 'G', 'C', 'D', 'D', 'C', 'D', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'D', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G']"
Elton John,Daniel,1973,"['C', 'F', 'G', 'C', 'C', 'Dm', 'G', 'E7', 'Am', 'F', 'G', 'Am', 'F', 'G7', 'F', 'C', 'C', 'F', 'G', 'C', 'Dm', 'G', 'E7', 'Am', 'F', 'G', 'Am', 'F', 'G7', 'F', 'C', 'F', 'C', 'F', 'C', 'Am', 'F', 'Fm', 'C', 'A7', 'Dm', 'G7', 'C', 'Dm', 'G', 'E7', 'Am', 'F', 'G', 'Am', 'F', 'G7', 'F', 'C', 'G7', 'F', 'G7', 'F', 'C', 'F', 'C', 'F', 'C', 'Am', 'F', 'Fm', 'C', 'A7', 'Dm', 'G7', 'C', 'Dm', 'G', 'E7', 'Am', 'F', 'G', 'Am', 'F', 'G7', 'F', 'C', 'G7', 'F', 'G7', 'F', 'C', 'C', 'F', 'G', 'C']"
Dobie Gray,Drift Away,1973,"['F', 'C', 'F', 'C', 'F', 'C', 'Dm', 'F', 'C', 'G', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'Dm', 'F', 'C', 'G', 'F', 'Dm', 'F', 'C', 'Dm', 'F', 'G', 'F', 'C', 'F', 'C', 'F', 'C', 'Dm', 'F', 'C', 'G', 'F']"
Skylark,Wildflower,1973,"['G', 'D', 'A', 'D', 'G', 'D', 'A', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'D', 'G', 'D', 'Bm', 'E', 'A', 'A', 'G', 'Bm', 'A', 'G', 'D', 'Bm', 'E', 'A', 'A', 'G', 'Bm', 'A', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'D', 'G', 'D', 'Bm', 'E', 'A', 'G', 'Bm', 'A', 'G', 'D', 'Bm', 'E', 'A', 'G', 'Bm', 'A']"
