Artist,Track,Year,Chords
Big Bopper,Chantilly Lace,1950,"['G', 'C', 'G', 'C', 'C7', 'F', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'C7', 'F', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'C7', 'F', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'C7', 'F', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'C7', 'F', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'C7', 'F', 'C', 'G', 'C']"
Bobby Day,Rock-in Robin,1950,"['G', 'Am', 'D7', 'G', 'G7', 'G', 'G7', 'G', 'G7', 'G', 'G7', 'C', 'G', 'D', 'C', 'G', 'G7', 'G', 'G7', 'G', 'G7', 'G', 'G7', 'C', 'G', 'D', 'C', 'G', 'G7', 'G', 'G7', 'G', 'G7', 'G', 'G7', 'C', 'G', 'D', 'C', 'G', 'G7', 'G', 'G7', 'G', 'G7', 'G', 'G7', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G']"
The Diamonds,Kathy-O,1950,"['D', 'G', 'Am', 'D', 'G', 'C', 'G', 'A', 'D', 'G', 'Am', 'D', 'G', 'G', 'C', 'A', 'D', 'G', 'D', 'G', 'A', 'D', 'G', 'A', 'D', 'G', 'Am', 'D', 'G', 'C', 'A', 'D', 'G', 'D', 'Em', 'G', 'A', 'D', 'G', 'D', 'Em', 'G', 'D', 'D', 'G', 'A', 'D', 'G', 'A', 'D', 'G', 'Am', 'D', 'G', 'C', 'A', 'D', 'G', 'D', 'G']"
Gino & Gina,(It's Been A Long Time) Pretty Baby,1950,"['A', 'D', 'A', 'E7', 'A', 'D', 'A', 'D7', 'A', 'E7', 'D', 'A', 'A', 'A', 'A', 'A7', 'D', 'A', 'E7', 'D', 'A', 'A', 'D', 'A', 'E7', 'D', 'A', 'E7', 'D', 'A', 'A', 'A', 'A', 'A7', 'D', 'A', 'E7', 'D7', 'A', 'A', 'D', 'A']"
Dean Martin,Return To Me,1950,"['D', 'A', 'D', 'Em', 'A', 'A7', 'A', 'A7', 'A', 'D', 'A', 'D', 'Em', 'A', 'A7', 'A', 'A7', 'A', 'D', 'G', 'D', 'D7', 'G', 'Em', 'A', 'D', 'E', 'A', 'A7', 'A', 'D', 'Em', 'A', 'A7', 'A', 'A7', 'A', 'D', 'Bm', 'G', 'A', 'A', 'D', 'Em', 'A', 'A7', 'A', 'A7', 'A', 'D', 'G', 'D']"
Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),1950,"['C', 'Dm', 'G7', 'Dm', 'G7', 'C', 'C', 'Em', 'Dm', 'D7', 'Am7', 'Dm', 'G7', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'Am', 'Em', 'E7', 'Am', 'Fm', 'Bb', 'G7', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'Am', 'Em', 'E7', 'Am', 'Fm', 'Bb', 'G7', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C']"
Jack Scott,Leroy,1950,"['E', 'B', 'A', 'E', 'E', 'B', 'A', 'E', 'A', 'B', 'E', 'E7', 'A', 'B', 'E', 'E7', 'A', 'B', 'E', 'E/D#', 'C#m', 'B', 'A', 'B', 'D', 'E', 'D', 'E', 'B', 'A', 'E', 'B', 'A', 'E', 'A', 'B', 'E', 'E7', 'A', 'B', 'E', 'E7', 'A', 'B', 'E', 'E/D#', 'C#m', 'B', 'A', 'B', 'D', 'E', 'D', 'E', 'B', 'A', 'E', 'E', 'B', 'A', 'E', 'A', 'B', 'E', 'E7', 'A', 'B', 'E', 'E7', 'A', 'B', 'E', 'E/D#', 'C#m', 'B', 'A', 'B', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E']"
Toni Arden,Padre,1950,"['D', 'D', 'D', 'D', 'D', 'G', 'G', 'G', 'G', 'D7', 'G', 'D7', 'G', 'D7', 'G', 'D7', 'G', 'D7', 'G', 'D7', 'G', 'D7', 'G7', 'C', 'Cm', 'G', 'D7', 'G', 'D7', 'G', 'D7', 'G', 'D7', 'G7', 'C', 'Cm', 'G', 'D7', 'G', 'D7', 'G', 'G7', 'C', 'D7', 'G', 'G', 'G7', 'C', 'D7', 'G', 'D7', 'G', 'D7', 'G', 'D7', 'G', 'D7', 'G7', 'C', 'Cm', 'G', 'D7', 'G', 'D7', 'G', 'D7', 'G', 'D7', 'G7', 'C', 'Cm', 'G', 'D7', 'G', 'D7', 'G', 'G7', 'C', 'D7', 'G', 'G', 'G7', 'C', 'D7', 'G', 'D7', 'G', 'D7', 'G', 'D7', 'G', 'D7', 'G']"
The Platters,You're Making A Mistake,1950,"['C', 'Abdim', 'Am', 'Fm', 'B', 'C9', 'F', 'Ddim', 'Fmaj7', 'G/B', 'E7', 'C', 'Abdim', 'Am', 'Fm', 'B', 'Am', 'C9', 'F', 'Ddim', 'Am', 'Abdim', 'Am', 'Fmaj7', 'G/B', 'C', 'Abdim', 'Am', 'Fm', 'B', 'Am', 'C9', 'F', 'Ddim', 'Am', 'Abdim', 'Am', 'Fmaj7', 'G/B', 'C', 'E7', 'Am', 'E7', 'Am', 'A', 'Am', 'Gm', 'Fm', 'Abdim', 'C', 'Abdim', 'Am', 'Fm', 'B', 'Am', 'C9', 'F', 'Ddim', 'Am', 'Abdim', 'Am', 'Fmaj7', 'G/B', 'C', 'Ddim', 'Am', 'Abdim', 'Am', 'F', 'C', 'G/B', 'F', 'F', 'G/B', 'A', 'Am', 'Gm', 'Fm', 'Abdim']"
Jim Backus & Friend,Delicious!,1950,"['B', 'A', 'E', 'B', 'E', 'A', 'E', 'G', 'B', 'A', 'E', 'A', 'B', 'A', 'B', 'A', 'E', 'C', 'B', 'A', 'E', 'B', 'B', 'A', 'E', 'G', 'B', 'A', 'E', 'A', 'B', 'A', 'B', 'A', 'E', 'C', 'B', 'A', 'E', 'B']"
